time,Apolloon,VTK
1666463684,12,14
1666463685,12,14
1666463686,12,14
1666463687,12,14
1666463688,12,14
1666463689,12,14
1666463690,12,14
1666463691,12,14
1666463692,12,14
1666463693,12,14
1666463694,12,14
1666463695,12,14
1666463696,12,14
1666463697,12,14
1666463698,12,14
1666463699,13,14
1666463700,13,14
1666463701,13,14
1666463702,13,14
1666463703,13,14
1666463704,13,14
1666463705,13,14
1666463706,13,14
1666463707,13,15
1666463708,13,15
1666463709,13,15
1666463710,13,15
1666463711,13,15
1666463712,13,15
1666463713,13,15
1666463714,13,15
1666463715,13,15
1666463716,13,15
1666463717,13,15
1666463718,13,15
1666463719,13,15
1666463720,13,15
1666463721,13,15
1666463722,13,15
1666463723,13,15
1666463724,13,15
1666463725,13,15
1666463726,13,15
1666463727,13,15
1666463728,13,15
1666463729,13,15
1666463730,13,15
1666463731,13,15
1666463732,13,15
1666463733,13,15
1666463734,13,15
1666463735,13,15
1666463736,13,15
1666463737,13,15
1666463738,13,15
1666463739,13,15
1666463740,13,15
1666463741,13,15
1666463742,13,15
1666463743,13,15
1666463744,13,15
1666463745,13,15
1666463746,13,15
1666463747,13,15
1666463748,13,15
1666463749,13,15
1666463750,13,15
1666463751,13,15
1666463752,13,15
1666463753,13,15
1666463754,13,15
1666463755,13,15
1666463756,13,15
1666463757,13,15
1666463758,13,15
1666463759,13,15
1666463760,13,15
1666463761,13,15
1666463762,13,15
1666463763,13,15
1666463764,13,15
1666463765,13,15
1666463767,13,15
1666463768,13,15
1666463769,13,15
1666463770,13,15
1666463771,13,15
1666463772,13,15
1666463773,13,15
1666463774,13,15
1666463775,13,16
1666463776,13,16
1666463777,13,16
1666463778,13,16
1666463779,14,16
1666463780,14,16
1666463781,14,16
1666463782,14,16
1666463783,14,16
1666463784,14,16
1666463785,14,16
1666463786,14,16
1666463787,14,16
1666463788,14,16
1666463789,14,16
1666463790,14,16
1666463791,14,16
1666463792,14,16
1666463793,14,16
1666463794,14,16
1666463795,14,16
1666463796,14,16
1666463797,14,16
1666463798,14,16
1666463799,14,16
1666463800,14,16
1666463801,14,16
1666463802,14,16
1666463803,14,16
1666463804,14,16
1666463805,14,16
1666463806,14,16
1666463807,14,16
1666463808,14,16
1666463809,14,16
1666463810,14,16
1666463811,14,16
1666463812,14,16
1666463813,14,16
1666463814,14,16
1666463815,14,16
1666463816,14,16
1666463817,14,16
1666463818,14,16
1666463819,14,16
1666463820,14,16
1666463821,14,16
1666463822,14,16
1666463823,14,16
1666463824,14,16
1666463825,14,16
1666463826,14,16
1666463827,14,16
1666463828,14,16
1666463829,14,16
1666463830,14,16
1666463831,14,16
1666463832,14,16
1666463833,14,16
1666463834,14,16
1666463835,14,16
1666463836,14,16
1666463837,14,16
1666463838,14,16
1666463839,14,16
1666463840,14,16
1666463841,14,16
1666463842,14,16
1666463843,14,16
1666463844,14,17
1666463845,14,17
1666463846,14,17
1666463847,14,17
1666463848,14,17
1666463849,14,17
1666463850,14,17
1666463851,14,17
1666463853,14,17
1666463854,14,17
1666463855,14,17
1666463856,14,17
1666463857,14,17
1666463858,14,17
1666463859,14,17
1666463860,15,17
1666463861,15,17
1666463862,15,17
1666463863,15,17
1666463864,15,17
1666463865,15,17
1666463866,15,17
1666463867,15,17
1666463868,15,17
1666463869,15,17
1666463870,15,17
1666463871,15,17
1666463872,15,17
1666463873,15,17
1666463874,15,17
1666463875,15,17
1666463876,15,17
1666463877,15,17
1666463878,15,17
1666463879,15,17
1666463880,15,17
1666463881,15,17
1666463882,15,17
1666463883,15,17
1666463884,15,17
1666463885,15,17
1666463886,15,17
1666463887,15,17
1666463888,15,17
1666463889,15,17
1666463890,15,17
1666463891,15,17
1666463892,15,17
1666463893,15,17
1666463894,15,17
1666463895,15,17
1666463896,15,17
1666463897,15,17
1666463898,15,17
1666463899,15,17
1666463900,15,17
1666463901,15,17
1666463902,15,17
1666463903,15,17
1666463904,15,17
1666463905,15,17
1666463906,15,17
1666463907,15,17
1666463908,15,17
1666463909,15,17
1666463910,15,17
1666463911,15,17
1666463912,15,17
1666463913,15,18
1666463914,15,18
1666463915,15,18
1666463916,15,18
1666463917,15,18
1666463918,15,18
1666463919,15,18
1666463920,15,18
1666463921,15,18
1666463922,15,18
1666463923,15,18
1666463924,15,18
1666463925,15,18
1666463926,15,18
1666463927,15,18
1666463928,15,18
1666463929,15,18
1666463930,15,18
1666463931,15,18
1666463932,15,18
1666463933,15,18
1666463934,15,18
1666463935,15,18
1666463936,15,18
1666463937,15,18
1666463938,15,18
1666463939,16,18
1666463940,16,18
1666463941,16,18
1666463943,16,18
1666463944,16,18
1666463945,16,18
1666463946,16,18
1666463947,16,18
1666463948,16,18
1666463949,16,18
1666463950,16,18
1666463951,16,18
1666463952,16,18
1666463953,16,18
1666463954,16,18
1666463955,16,18
1666463956,16,18
1666463957,16,18
1666463958,16,18
1666463959,16,18
1666463960,16,18
1666463961,16,18
1666463962,16,18
1666463963,16,18
1666463964,16,18
1666463965,16,18
1666463966,16,18
1666463967,16,18
1666463968,16,18
1666463969,16,18
1666463970,16,18
1666463971,16,18
1666463972,16,18
1666463973,16,18
1666463974,16,18
1666463975,16,18
1666463976,16,18
1666463977,16,18
1666463978,16,18
1666463979,16,18
1666463980,16,18
1666463981,16,18
1666463982,16,18
1666463983,16,19
1666463984,16,19
1666463985,16,19
1666463986,16,19
1666463987,16,19
1666463988,16,19
1666463989,16,19
1666463990,16,19
1666463991,16,19
1666463992,16,19
1666463993,16,19
1666463994,16,19
1666463995,16,19
1666463996,16,19
1666463997,16,19
1666463998,16,19
1666463999,16,19
1666464000,16,19
1666464001,16,19
1666464002,16,19
1666464003,16,19
1666464004,16,19
1666464005,16,19
1666464006,16,19
1666464007,16,19
1666464008,16,19
1666464009,16,19
1666464010,16,19
1666464011,16,19
1666464012,16,19
1666464013,16,19
1666464014,16,19
1666464015,16,19
1666464016,16,19
1666464017,16,19
1666464018,16,19
1666464019,16,19
1666464020,16,19
1666464021,16,19
1666464022,17,19
1666464023,17,19
1666464024,17,19
1666464025,17,19
1666464026,17,19
1666464027,17,19
1666464028,17,19
1666464029,17,19
1666464030,17,19
1666464031,17,19
1666464032,17,19
1666464033,17,19
1666464034,17,19
1666464035,17,19
1666464036,17,19
1666464037,17,19
1666464038,17,19
1666464039,17,19
1666464040,17,19
1666464042,17,19
1666464043,17,19
1666464044,17,19
1666464045,17,19
1666464046,17,19
1666464047,17,19
1666464048,17,19
1666464049,17,19
1666464050,17,19
1666464051,17,19
1666464052,17,19
1666464053,17,19
1666464054,17,20
1666464055,17,20
1666464056,17,20
1666464057,17,20
1666464058,17,20
1666464059,17,20
1666464060,17,20
1666464061,17,20
1666464062,17,20
1666464063,17,20
1666464064,17,20
1666464065,17,20
1666464066,17,20
1666464067,17,20
1666464068,17,20
1666464069,17,20
1666464070,17,20
1666464071,17,20
1666464072,17,20
1666464073,17,20
1666464074,17,20
1666464075,17,20
1666464076,17,20
1666464077,17,20
1666464078,17,20
1666464079,17,20
1666464080,17,20
1666464081,17,20
1666464082,17,20
1666464083,17,20
1666464084,17,20
1666464085,17,20
1666464086,17,20
1666464087,17,20
1666464088,17,20
1666464089,17,20
1666464090,17,20
1666464091,17,20
1666464092,17,20
1666464093,17,20
1666464094,17,20
1666464095,17,20
1666464096,17,20
1666464097,17,20
1666464098,17,20
1666464099,17,20
1666464100,17,20
1666464101,18,20
1666464102,18,20
1666464103,18,20
1666464104,18,20
1666464105,18,20
1666464106,18,20
1666464107,18,20
1666464108,18,20
1666464109,18,20
1666464110,18,20
1666464111,18,20
1666464112,18,20
1666464113,18,20
1666464114,18,20
1666464115,18,20
1666464116,18,20
1666464117,18,20
1666464118,18,20
1666464119,18,20
1666464120,18,20
1666464121,18,20
1666464122,18,21
1666464123,18,21
1666464124,18,21
1666464125,18,21
1666464126,18,21
1666464127,18,21
1666464128,18,21
1666464129,18,21
1666464130,18,21
1666464131,18,21
1666464132,18,21
1666464133,18,21
1666464134,18,21
1666464135,18,21
1666464136,18,21
1666464137,18,21
1666464139,18,21
1666464140,18,21
1666464141,18,21
1666464142,18,21
1666464143,18,21
